date,symbol,dataset,schema,start,end,status,path,bytes,estimated_cost,downloaded_at,error
2026-08-17,NVDA,XNAS.ITCH,mbp-10,2026-08-17 19:59:59+00:00,2026-08-17 20:00:00+00:00,complete,data/raw/NVDA/mbp10/NVDA_2026-08-17_155959_160000_mbp10.dbn.zst,99291,0.025822538137,2026-09-10T23:05:58.979741+00:00,
2026-08-18,NVDA,XNAS.ITCH,mbp-10,2026-08-18 19:59:59+00:00,2026-08-18 20:00:00+00:00,complete,data/raw/NVDA/mbp10/NVDA_2026-08-18_155959_160000_mbp10.dbn.zst,45499,0.035507035255,2026-09-10T23:06:03.895800+00:00,
2026-08-19,NVDA,XNAS.ITCH,mbp-10,2026-08-19 19:59:59+00:00,2026-08-19 20:00:00+00:00,complete,data/raw/NVDA/mbp10/NVDA_2026-08-19_155959_160000_mbp10.dbn.zst,80503,0.039205467701,2026-09-10T23:06:07.507029+00:00,
2026-08-20,NVDA,XNAS.ITCH,mbp-10,2026-08-20 19:59:59+00:00,2026-08-20 20:00:00+00:00,complete,data/raw/NVDA/mbp10/NVDA_2026-08-20_155959_160000_mbp10.dbn.zst,73468,0.026267397404,2026-09-10T23:06:10.497094+00:00,
2026-08-21,NVDA,XNAS.ITCH,mbp-10,2026-08-21 19:59:59+00:00,2026-08-21 20:00:00+00:00,complete,data/raw/NVDA/mbp10/NVDA_2026-08-21_155959_160000_mbp10.dbn.zst,21187,,,
